Hour,Bus,Voltage_pu,Solar_Multiplier,Load_Multiplier
3,645,1.0171193974272512,0.0,0.45
3,646,1.0170233229434913,0.0,0.45
3,692,1.0221715631885637,0.0,0.45
3,675,1.0231309539744777,0.0,0.45
3,611,1.0400480796300813,0.0,0.45
3,652,1.021692133488212,0.0,0.45
3,670,1.0188748235728007,0.0,0.45
3,632,1.017188677699655,0.0,0.45
3,680,1.0221715767866562,0.0,0.45
3,684,1.0220147311736278,0.0,0.45
4,sourcebus,1.0001263000571374,0.0,0.5
4,650,1.0001358861105587,0.0,0.5
4,rg60,1.0126468405956983,0.0,0.5
4,633,1.018395716309589,0.0,0.5
4,634,1.0177456146134956,0.0,0.5
4,671,1.0245207722522423,0.0,0.5
4,645,1.0178136851963648,0.0,0.5
4,646,1.017765681526675,0.0,0.5
4,692,1.024520771998184,0.0,0.5
4,675,1.0256874416895878,0.0,0.5
4,611,1.037012614608783,0.0,0.5
4,652,1.0242587419343312,0.0,0.5
4,670,1.020505308279347,0.0,0.5
4,632,1.0184773684435162,0.0,0.5
4,680,1.0245207853812455,0.0,0.5
4,684,1.0244201773087303,0.0,0.5
5,sourcebus,1.0001276943461106,0.05,0.65
5,650,1.000137891610292,0.05,0.65
5,rg60,1.0126500485365342,0.05,0.65
5,633,1.0188693819072043,0.05,0.65
5,634,1.0184471185107171,0.05,0.65
5,671,1.025332652921165,0.05,0.65
5,645,1.018041216786367,0.05,0.65
5,646,1.0180100046292477,0.05,0.65
5,692,1.0253326527539868,0.05,0.65
5,675,1.0265736764249318,0.05,0.65
5,611,1.0382426200280153,0.05,0.65
5,652,1.0251469238915782,0.05,0.65
5,670,1.0210683703922385,0.05,0.65
5,632,1.0189224145484517,0.05,0.65
5,680,1.0253326660615931,0.05,0.65
5,684,1.0252517601018116,0.05,0.65
6,sourcebus,1.0001282115407746,0.15,0.8
6,650,1.0001386353838209,0.15,0.8
6,rg60,1.0126512385095825,0.15,0.8
6,633,1.0190450546152396,0.15,0.8
6,634,1.018707332393192,0.15,0.8
6,671,1.0256338522039476,0.15,0.8
6,645,1.0181256929718716,0.15,0.8
6,646,1.018100720543043,0.15,0.8
6,692,1.025633852069001,0.15,0.8
6,675,1.0269024601933654,0.15,0.8
6,611,1.0386991181905096,0.15,0.8
6,652,1.0254765013638665,0.15,0.8
6,670,1.0212772121272968,0.15,0.8
6,632,1.0190874688045435,0.15,0.8
6,680,1.0256338653486143,0.15,0.8
6,684,1.025560289877963,0.15,0.8
7,sourcebus,1.0001284183124945,0.3,0.9
7,650,1.0001389327124455,0.3,0.9
7,rg60,1.012651714251561,0.3,0.9
7,633,1.019115286344759,0.3,0.9
7,634,1.018811367780613,0.3,0.9
7,671,1.0257542810566032,0.3,0.9
7,645,1.0181594779247458,0.3,0.9
7,646,1.018137001823193,0.3,0.9
7,692,1.0257542809345437,0.3,0.9
7,675,1.0270339178475962,0.3,0.9
7,611,1.0388816500484455,0.3,0.9
7,652,1.025608287261078,0.3,0.9
7,670,1.0213607064646386,0.3,0.9
7,632,1.0191534547822692,0.3,0.9
7,680,1.0257542942029652,0.3,0.9
7,684,1.025683652901969,0.3,0.9
8,sourcebus,1.0001285113399978,0.5,0.95
8,650,1.00013906647664,0.5,0.95
8,rg60,1.012651928289366,0.5,0.95
8,633,1.0191468837486681,0.5,0.95
8,634,1.0188581744469933,0.5,0.95
8,671,1.0258084647155894,0.5,0.95
8,645,1.018174680140968,0.5,0.95
8,646,1.0181533274683214,0.5,0.95
8,692,1.025808464599328,0.5,0.95
8,675,1.027093063538177,0.5,0.95
8,611,1.0389637766852733,0.5,0.95
8,652,1.0256675826638215,0.5,0.95
8,670,1.021398271132168,0.5,0.95
8,632,1.0191831418992345,0.5,0.95
8,680,1.0258084778627137,0.5,0.95
8,684,1.0257391573075734,0.5,0.95
9,sourcebus,1.0001287764010416,0.7,0.85
9,650,1.0001394475896401,0.7,0.85
9,rg60,1.0126525381393707,0.7,0.85
9,633,1.0192369148019085,0.7,0.85
9,634,1.0189915438074684,0.7,0.85
9,671,1.0259628597084625,0.7,0.85
9,645,1.018218003392393,0.7,0.85
9,646,1.018199852780695,0.7,0.85
9,692,1.0259628596087214,0.7,0.85
9,675,1.0272615971578103,0.7,0.85
9,611,1.0391977910676358,0.7,0.85
9,652,1.0258365497774706,0.7,0.85
9,670,1.021505306282169,0.7,0.85
9,632,1.0192677296195478,0.7,0.85
9,680,1.0259628728577599,0.7,0.85
9,684,1.0258973177319655,0.7,0.85
10,sourcebus,1.000129151736033,0.85,0.75
10,650,1.0001399872142347,0.85,0.75
10,rg60,1.0126534017036126,0.85,0.75
10,633,1.019364399192938,0.85,0.75
10,634,1.0191804039790486,0.85,0.75
10,671,1.026181504978543,0.85,0.75
10,645,1.0182793686148086,0.85,0.75
10,646,1.0182657549589156,0.85,0.75
10,692,1.026181504902197,0.85,0.75
10,675,1.0275002643162687,0.85,0.75
10,611,1.0395292075130567,0.85,0.75
10,652,1.0260758481545638,0.85,0.75
10,670,1.021656871837379,0.85,0.75
10,632,1.0193875052042864,0.85,0.75
10,680,1.0261815181309175,0.85,0.75
10,684,1.0261213005222165,0.85,0.75
11,sourcebus,1.000129489368594,0.95,0.7
11,650,1.000140472589401,0.95,0.7
11,rg60,1.012654178519439,0.95,0.7
11,633,1.0194790751562408,0.95,0.7
11,634,1.0193502978757791,0.95,0.7
11,671,1.0263782040964133,0.95,0.7
11,645,1.0183345879695784,0.95,0.7
11,646,1.018325058275991,0.95,0.7
11,692,1.0263782040411142,0.95,0.7
11,675,1.0277149752534795,0.95,0.7
11,611,1.039827377706166,0.95,0.7
11,652,1.0262911443526277,0.95,0.7
11,670,1.021793212793437,0.95,0.7
11,632,1.0194952458387747,0.95,0.7
11,680,1.0263782172515568,0.95,0.7
11,684,1.026322806569318,0.95,0.7
12,sourcebus,1.0001297649830825,1.0,0.65
12,650,1.0001408687772861,1.0,0.65
12,rg60,1.0126548126432493,1.0,0.65
12,633,1.0195726852891855,1.0,0.65
12,634,1.0194889884058957,1.0,0.65
12,671,1.0265387847837735,1.0,0.65
12,645,1.0183796772861555,1.0,0.65
12,646,1.0183734833226632,1.0,0.65
12,692,1.0265387847456557,1.0,0.65
12,675,1.0278902600516324,1.0,0.65
12,611,1.040070809249644,1.0,0.65
12,652,1.0264669191740046,1.0,0.65
12,670,1.0219045104082478,1.0,0.65
12,632,1.0195831939393045,1.0,0.65
12,680,1.0265387979411773,1.0,0.65
12,684,1.026487315141851,1.0,0.65
13,sourcebus,1.000129944075099,0.95,0.65
13,650,1.0001411262018074,0.95,0.65
13,rg60,1.0126552246904037,0.95,0.65
13,633,1.0196335113886426,0.95,0.65
13,634,1.0195791098678368,0.95,0.65
13,671,1.026643134269199,0.95,0.65
13,645,1.0184089821999884,0.95,0.65
13,646,1.018404956697111,0.95,0.65
13,692,1.0266431342422464,0.95,0.65
13,675,1.028004164527353,0.95,0.65
13,611,1.0402290041733073,0.95,0.65
13,652,1.026581147984019,0.95,0.65
13,670,1.0219768305980566,0.95,0.65
13,632,1.0196403406020702,0.95,0.65
13,680,1.0266431474280717,0.95,0.65
13,684,1.0265942188184107,0.95,0.65
14,sourcebus,1.0001300438352732,0.85,0.7
14,650,1.0001412695905794,0.85,0.7
14,rg60,1.0126554542138326,0.85,0.7
14,633,1.019667393152356,0.85,0.7
14,634,1.0196293109686934,0.85,0.7
14,671,1.0267012621711682,0.85,0.7
14,645,1.0184253081520735,0.85,0.7
14,646,1.0184224908716597,0.85,0.7
14,692,1.026701262150435,0.85,0.7
14,675,1.0280676150041863,0.85,0.7
14,611,1.0403171291766935,0.85,0.7
14,652,1.0266447811514021,0.85,0.7
14,670,1.0220171152482838,0.85,0.7
14,632,1.0196721726977924,0.85,0.7
14,680,1.0267012753308593,0.85,0.7
14,684,1.0266537701322156,0.85,0.7
15,sourcebus,1.0001301020222544,0.7,0.75
15,650,1.0001413532230607,0.7,0.75
15,rg60,1.0126555880875059,0.7,0.75
15,633,1.01968715526792,0.7,0.75
15,634,1.0196585919245906,0.7,0.75
15,671,1.0267351670756721,0.7,0.75
15,645,1.0184348312759497,0.7,0.75
15,646,1.0184327188190287,0.7,0.75
15,692,1.0267351670585665,0.7,0.75
15,675,1.028104624443299,0.7,0.75
15,611,1.0403685313547595,0.7,0.75
15,652,1.0266818978151269,0.7,0.75
15,670,1.0220406120851042,0.7,0.75
15,632,1.019690739271815,0.7,0.75
15,680,1.0267351802358404,0.7,0.75
15,684,1.0266885054820825,0.7,0.75
16,sourcebus,1.0001301282047885,0.5,0.85
16,650,1.0001413908549255,0.5,0.85
16,rg60,1.012655648326912,0.5,0.85
16,633,1.0196960475782177,0.5,0.85
16,634,1.0196717675167521,0.5,0.85
16,671,1.0267504233696538,0.5,0.85
16,645,1.018439116593056,0.5,0.85
16,646,1.0184373213124966,0.5,0.85
16,692,1.0267504233541807,0.5,0.85
16,675,1.0281212777015714,0.5,0.85
16,611,1.040391661403532,0.5,0.85
16,652,1.0266985994846893,0.5,0.85
16,670,1.0220511849224856,0.5,0.85
16,632,1.0196990936146801,0.5,0.85
16,680,1.026750436530037,0.5,0.85
16,684,1.0267041355033282,0.5,0.85
17,sourcebus,1.0001301282046862,0.3,1.0
17,650,1.0001413908547132,0.3,1.0
17,rg60,1.012655648326649,0.3,1.0
17,633,1.0196960473927745,0.3,1.0
17,634,1.0196717673120257,0.3,1.0
17,671,1.0267504230364415,0.3,1.0
17,645,1.0184391165843028,0.3,1.0
17,646,1.0184373213024416,0.3,1.0
17,692,1.0267504230209683,0.3,1.0
17,675,1.0281212773609947,0.3,1.0
17,611,1.0403916614886524,0.3,1.0
17,652,1.026698599149172,0.3,1.0
17,670,1.0220511846889881,0.3,1.0
17,632,1.0196990934341277,0.3,1.0
17,680,1.0267504361968245,0.3,1.0
17,684,1.026704135165699,0.3,1.0
18,sourcebus,1.0001301133679092,0.1,1.1
18,650,1.000141369529931,0.1,1.1
18,rg60,1.012655614190938,0.1,1.1
18,633,1.0196910082270731,0.1,1.1
18,634,1.0196643009436708,0.1,1.1
18,671,1.026741777443791,0.1,1.1
18,645,1.0184366882328755,0.1,1.1
18,646,1.018434713215633,0.1,1.1
18,692,1.026741777427393,0.1,1.1
18,675,1.0281118401516944,0.1,1.1
18,611,1.0403785546460678,0.1,1.1
18,652,1.0266891345010785,0.1,1.1
18,670,1.0220451931701473,0.1,1.1
18,632,1.019694359120923,0.1,1.1
18,680,1.0267417906040524,0.1,1.1
18,684,1.0266952777865412,0.1,1.1
19,sourcebus,1.0001300888866107,0.0,1.15
19,650,1.0001413343430152,0.0,1.15
19,rg60,1.0126555578656002,0.0,1.15
19,633,1.0196826934723409,0.0,1.15
19,634,1.0196519812347655,0.0,1.15
19,671,1.0267275120845853,0.0,1.15
19,645,1.0184326814207707,0.0,1.15
19,646,1.0184304098437194,0.0,1.15
19,692,1.026727512066661,0.0,1.15
19,675,1.028096268597801,0.0,1.15
19,611,1.0403569278869513,0.0,1.15
19,652,1.0266735177388944,0.0,1.15
19,670,1.0220353070286696,0.0,1.15
19,632,1.0196865473803325,0.0,1.15
19,680,1.026727525244646,0.0,1.15
19,684,1.026680662994838,0.0,1.15
20,sourcebus,1.0001300701170956,0.0,1.1
20,650,1.0001413073655154,0.0,1.1
20,rg60,1.0126555146816465,0.0,1.1
20,633,1.0196763187189535,0.0,1.1
20,634,1.0196425359577068,0.0,1.1
20,671,1.0267165752031708,0.0,1.1
20,645,1.0184296095048653,0.0,1.1
20,646,1.0184271105683187,0.0,1.1
20,692,1.0267165751840763,0.0,1.1
20,675,1.0280843302775184,0.0,1.1
20,611,1.0403403469714259,0.0,1.1
20,652,1.0266615448143028,0.0,1.1
20,670,1.0220277275427156,0.0,1.1
20,632,1.0196805582774007,0.0,1.1
20,680,1.0267165883630776,0.0,1.1
20,684,1.0266694582280844,0.0,1.1
21,sourcebus,1.0001300804405115,0.0,0.95
21,650,1.0001413222034954,0.0,0.95
21,rg60,1.0126555384332732,0.0,0.95
21,633,1.0196798250800503,0.0,0.95
21,634,1.0196477311371415,0.0,0.95
21,671,1.0267225909217268,0.0,0.95
21,645,1.0184312990734734,0.0,0.95
21,646,1.0184289251859633,0.0,0.95
21,692,1.0267225909032758,0.0,0.95
21,675,1.0280908967990614,0.0,0.95
21,611,1.0403494664027395,0.0,0.95
21,652,1.026668130355912,0.0,0.95
21,670,1.0220318965679687,0.0,0.95
21,632,1.0196838525238878,0.0,0.95
21,680,1.0267226040817183,0.0,0.95
21,684,1.0266756212877772,0.0,0.95
22,sourcebus,1.0001301196678278,0.0,0.8
22,650,1.0001413785848816,0.0,0.8
22,rg60,1.0126556286855246,0.0,0.8
22,633,1.0196931482074423,0.0,0.8
22,634,1.0196674715537553,0.0,0.8
22,671,1.026745448986555,0.0,0.8
22,645,1.0184377193291554,0.0,0.8
22,646,1.0184358206297623,0.0,0.8
22,692,1.0267454489705496,0.0,0.8
22,675,1.028115847829986,0.0,0.8
22,611,1.0403841196779913,0.0,0.8
22,652,1.0266931538168602,0.0,0.8
22,670,1.0220477376088473,0.0,0.8
22,632,1.0196963696514538,0.0,0.8
22,680,1.026745462146868,0.0,0.8
22,684,1.026699039261177,0.0,0.8
23,sourcebus,1.0001301745823534,0.0,0.65
23,650,1.000141457512477,0.0,0.65
23,rg60,1.0126557550300306,0.0,0.65
23,633,1.0197117991417721,0.0,0.65
23,634,1.0196951062414708,0.0,0.65
23,671,1.0267774482446927,0.0,0.65
23,645,1.0184467074786925,0.0,0.65
23,646,1.0184454740566657,0.0,0.65
23,692,1.0267774482321106,0.0,0.65
23,675,1.028150777065216,0.0,0.65
23,611,1.040432632086964,0.0,0.65
23,652,1.0267281848272536,0.0,0.65
23,670,1.0220699134088023,0.0,0.65
23,632,1.0197138922458981,0.0,0.65
23,680,1.0267774614054563,0.0,0.65
23,684,1.0267318224555841,0.0,0.65
